a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
4.399398882132420823e-04,1.113239728506680604e-05,4.332814702918851615e-06,1.200000000000000000e+01,3.779791914795742423e-03,-2.756434160310920447e+02,2.288303454621733692e+02,9.986539585210330028e-01
4.348969084618766801e-04,8.516020618436099477e-06,4.765882751359213310e-06,1.200000000000000000e+01,4.518341376602577619e-03,-6.383029472482976416e+02,2.325444825975742447e+02,9.917587511683088053e-01
4.652290304285501424e-04,1.091225659048060309e-05,4.779941174780138768e-06,1.700000000000000000e+01,3.640075219839734519e-03,-2.417164692276461437e+02,1.617434595612562305e+02,9.978673065132939168e-01
4.616171159281556337e-04,1.108680988790213949e-05,3.908109484744707980e-06,1.700000000000000000e+01,4.252710504689827947e-03,-2.463022062560978895e+02,1.422181735535771736e+02,9.970652492937723821e-01
5.049542507012203668e-04,1.159977307707909165e-05,4.269123120908693065e-06,1.900000000000000000e+01,3.884968195990574392e-03,-2.545073599925111694e+02,1.242225265727106063e+02,9.957530091495275792e-01
4.185948965106951595e-04,8.208567166233623723e-06,3.903735670013104027e-06,1.700000000000000000e+01,4.871733239964931225e-03,-5.237570326554970279e+02,1.512517749192373344e+02,9.856703791876466614e-01
4.862622760084783346e-04,1.189255761014441788e-05,3.264135751676863602e-06,1.700000000000000000e+01,3.554964541627316649e-03,-2.781313137833213318e+02,1.285086627724334107e+02,9.952010965109293616e-01
5.599033297143621996e-04,1.184889505343472687e-05,3.119096522286330813e-06,1.900000000000000000e+01,3.302846676971969708e-03,-6.111807227787578540e+02,9.902662737443175445e+01,9.258945257983853816e-01
4.134348414629276697e-04,8.953455032232232984e-06,3.353493974150320936e-06,1.500000000000000000e+01,3.654522382355633158e-03,-4.730322613187581169e+02,1.726306261051717570e+02,9.917916235872512587e-01
5.187960181756770799e-04,1.143707963073793442e-05,4.139685479851338301e-06,1.800000000000000000e+01,3.338904603605601876e-03,-3.375810890066429693e+02,1.296993640327265496e+02,9.927108265276257670e-01
4.117189391717360853e-04,9.168449588584462958e-06,3.691492731590955125e-06,1.600000000000000000e+01,4.827762143393598410e-03,-3.410926714302838718e+02,1.592829783994814363e+02,9.953136704171247073e-01
5.330764570549123126e-04,1.080584130571599458e-05,3.640547519183243109e-06,1.600000000000000000e+01,4.769957173977825218e-03,-6.231592175549085368e+02,1.225730004476221069e+02,9.604196214966378431e-01
4.884750658407555242e-04,9.386656884755429866e-06,4.656166345472888951e-06,1.700000000000000000e+01,4.969007005986793638e-03,-5.188708885971484506e+02,1.407774847731116097e+02,9.832791141101653309e-01
